bee,bee_family,bee_rank,plant,plant_common_name,plant_family,source_backed_rows,near_local_rows,within150_rows,direct_visit_feeding_rows,general_association_rows,weak_nearby_rows,interaction_types,top_localities
Agapostemon,Halictidae,genus,Pyrus calleryana,,Rosaceae,1,1,1,1,0,0,visitsFlowersOf:1,
Agapostemon angelicus,Halictidae,species,Opuntia phaeacantha major,,Cactaceae,2,0,2,0,2,0,interactsWith:2,"Menard, 14 mi S:2"
Agapostemon meliventris,,unknown,Vitex agnus-castus,chaste tree,Lamiaceae,3,3,3,0,3,0,interactsWith:3,
Agapostemon melliventris,Halictidae,species,Clematis,,Ranunculaceae,5,0,5,0,5,0,interactsWith:5,"Sarita, 5 km N:5"
Agapostemon melliventris,Halictidae,species,Prosopis,,Fabaceae,3,0,3,0,3,0,interactsWith:3,"Sarita, 5 km N:3"
Agapostemon melliventris,Halictidae,species,Vitex agnus-castus,chaste tree,Lamiaceae,3,3,3,0,3,0,interactsWith:3,
Agapostemon splendens,Halictidae,species,Asteraceae,sunflower family,Asteraceae,1,0,1,0,1,0,interactsWith:1,
Agapostemon splendens,Halictidae,species,Cactaceae,,Cactaceae,1,1,1,0,1,0,interactsWith:1,
Agapostemon splendens,Halictidae,species,Ludwigia octovalvis,,Onagraceae,1,1,1,1,0,0,visitsFlowersOf:1,
Agapostemon texanus,Halictidae,species,Asteraceae,sunflower family,Asteraceae,1,1,1,0,1,0,interactsWith:1,
Agapostemon texanus,Halictidae,species,Cirsium texanum,Texas thistle,Asteraceae,2,2,2,0,2,0,interactsWith:2,
Agapostemon texanus,Halictidae,species,Gaillardia suavis,perfumeball / pincushion daisy,Asteraceae,5,0,5,0,5,0,interactsWith:5,Harper:5
Agapostemon texanus,Halictidae,species,Helianthus debilis,,Asteraceae,1,0,1,0,1,0,interactsWith:1,Goliad:1
Agapostemon texanus,Halictidae,species,Monarda citriodora,lemon beebalm / lemon horsemint,Lamiaceae,1,1,1,0,1,0,interactsWith:1,
Agapostemon texanus,Halictidae,species,Oncidium ensatum,,Orchidaceae,4,4,4,0,4,0,interactsWith:4,
Agapostemon texanus,Halictidae,species,Phacelia,phacelia,Hydrophyllaceae,2,0,2,0,2,0,interactsWith:2,"Kerrville, 10 mi N:2"
Agapostemon texanus,Halictidae,species,Ratibida columnifera,Mexican hat / upright prairie coneflower,Asteraceae,38,38,38,0,38,0,interactsWith:38,
Agapostemon texanus,Halictidae,species,Salvia ballotaeflora,,Lamiaceae,2,0,2,0,2,0,interactsWith:2,United States of America:2
Andrena afimbriata,Andrenidae,species,Polygala alba,white milkwort,Polygalaceae,1,1,1,0,1,0,interactsWith:1,Paige:1
Andrena afimbriata,Andrenidae,species,Pyrrhopappus carolinianus,Carolina false dandelion,Asteraceae,2,0,0,0,2,0,interactsWith:2,Eldorado:2
Andrena andrenoides,Andrenidae,species,Salix,willow,Salicaceae,17,0,17,0,17,0,interactsWith:17,"Rockdale:8; Mason, 10 mi N:7; Lexington:2"
Andrena arenicola,Andrenidae,species,Salix,willow,Salicaceae,15,0,15,0,15,0,interactsWith:15,"Mason, 10 mi N:10; Rockdale:4; Lexington:1"
Andrena banksi,Andrenidae,species,Salix,willow,Salicaceae,1,0,1,0,1,0,interactsWith:1,Lexington:1
Andrena brevicornis,Andrenidae,species,Papaveraceae,,Papaveraceae,1,0,1,0,1,0,interactsWith:1,Davis Mountain State Park:1
Andrena commoda,Andrenidae,species,Phacelia,phacelia,Hydrophyllaceae,1,0,1,0,1,0,interactsWith:1,"Concan, 8 mi S:1"
Andrena crataegi,Andrenidae,species,Salix,willow,Salicaceae,2,0,2,0,2,0,interactsWith:2,Lexington:2
Andrena crawfordi,Andrenidae,species,Polygala alba,white milkwort,Polygalaceae,16,16,16,0,16,0,interactsWith:16,Paige:16
Andrena crawfordi,Andrenidae,species,Pyrrhopappus,false dandelion,Asteraceae,2,2,2,0,2,0,interactsWith:2,"Paige:1; Giddings, 9 mi W:1"
