bee_name,bee_family,plant_name,plant_family
Ancyloscelis apiformis,Apidae,Ipomoea,
Ancyloscelis sejunctus,Apidae,Ipomoea,
Andrena accepta,Andrenidae,Helianthus,Asteraceae
Andrena afimbriata,Andrenidae,Berlandiera,Asteraceae
Andrena alamonis,Andrenidae,Lesquerella,Brassicaceae
Andrena andrenoides,Andrenidae,Salix,
Andrena androfovea,Andrenidae,Chamaesaracha,Solanaceae
Andrena ardis,Andrenidae,Chrysothamnus,Asteraceae
Andrena arenicola,Andrenidae,Salix,
Andrena balsamorhizae,Andrenidae,Balsamorhiza,Asteraceae
Andrena berkeleyi,Andrenidae,Engelmannia,Asteraceae
Andrena biscutellata,Andrenidae,Gaillardia,Asteraceae
Andrena bullata,Andrenidae,Heterotheca,Asteraceae
Andrena capricornis,Andrenidae,Descurainia,Brassicaceae
Andrena chaparralensis,Andrenidae,Aphanostephus,Asteraceae
Andrena crawfordi,Andrenidae,Pyrrhopappus,Asteraceae
Andrena dapsilis,Andrenidae,Lepidium,Brassicaceae
Andrena erythrogaster,Andrenidae,Salix,
Andrena fulvipennis,Andrenidae,Chrysopsis,Asteraceae
Andrena gardineri,Andrenidae,Gutierrezia,Asteraceae
Andrena haynesi,Andrenidae,Helianthus,Asteraceae
Andrena helianthi,Andrenidae,Helianthus,Asteraceae
Andrena illinoiensis,Andrenidae,Salix,
Andrena jessicae,Andrenidae,Lesquerella,Brassicaceae
Andrena krigiana,Andrenidae,Hieracium,Cichorieae
Andrena macoupinensis,Andrenidae,Salix,
Andrena melanochroa,Andrenidae,Fragaria,Rosaceae
Andrena melliventris,Andrenidae,Gaillardia,Asteraceae
Andrena mesillae,Andrenidae,Lesquerella,Brassicaceae
Andrena micheneri,Andrenidae,Lepidium,Brassicaceae
Andrena micheneriella,Andrenidae,Baccharis,Asteraceae
Andrena nigrae,Andrenidae,Salix,
Andrena nothoscordi,Andrenidae,Nothoscordum,
Andrena ofella,Andrenidae,Chrysothamnus,Asteraceae
Andrena pecosana,Andrenidae,Chrysothamnus,Asteraceae
Andrena pectidis,Andrenidae,Pectis,
Andrena platyparia,Andrenidae,Cornus,
Andrena prima,Andrenidae,Lepidium,Brassicaceae
Andrena primulifrons,Andrenidae,Lesquerella,Brassicaceae
Andrena reflexa,Andrenidae,Gutierrezia,Asteraceae
Andrena rudbeckiae,Andrenidae,Ratibida,Asteraceae
Andrena senticulosa,Andrenidae,Berlandiera,Asteraceae
Andrena simulata,Andrenidae,Viguiera,Asteraceae
Andrena sitiliae,Andrenidae,Pyrrhopappus,Asteraceae
Andrena texana,Andrenidae,Amphiachyris,Asteraceae
Andrena tonkaworum,Andrenidae,Engelmannia,Asteraceae
Andrena trapezoidea,Andrenidae,Lesquerella,Brassicaceae
Andrena trimaculata,Andrenidae,Helianthus,Asteraceae
Andrena verbesinae,Andrenidae,Grindelia,Asteraceae
Andrena verecunda,Andrenidae,Engelmannia,Asteraceae
Andrena vulpicolor,Andrenidae,Chrysothamnus,Asteraceae
Anthidium atripes,Megachilidae,Astragalus,Fabaceae
Anthidium emarginatum,Megachilidae,Phacelia,Phacelia
Anthidium palmarum,Megachilidae,Phacelia,Phacelia
Anthophora affabilis,Apidae,Oenothera,
Anthophora curta,Apidae,Baileya,Asteraceae
Anthophora porterae,Apidae,Astragalus,Fabaceae
Anthophorula asteris,Apidae,Symphyotrichum,
Anthophorula micheneri,Apidae,Agalinis,
Ashmeadiella bucconis,Megachilidae,Baileya,Asteraceae
Ashmeadiella cubiceps,Megachilidae,Baileya,Asteraceae
Ashmeadiella erema,Megachilidae,Dalea,Fabaceae
Ashmeadiella opuntiae,Megachilidae,Cylindropuntia,Cactaceae
Ashmeadiella prosopidis,Megachilidae,Dalea,Fabaceae
Ashmeadiella rhodognatha,Megachilidae,Dalea,Fabaceae
Ashmeadiella rubrella,Megachilidae,Dalea,Fabaceae
Atoposmia daleae,Megachilidae,Dalea,Fabaceae
Calliopsis beamerorum,Andrenidae,Nama,
Calliopsis callops,Andrenidae,Chamaesaracha,Solanaceae
Calliopsis callosa,Andrenidae,Tidestromia,
Calliopsis coloradensis,Andrenidae,Chrysopsis,Asteraceae
Calliopsis coloratipes,Andrenidae,Baileya,Asteraceae
Calliopsis crypta,Andrenidae,Cirsium,Asteraceae
Calliopsis hirsutifrons,Andrenidae,Verbena,
Calliopsis meliloti,Andrenidae,Dalea,Fabaceae
Calliopsis michenerella,Andrenidae,Verbena,
Calliopsis micheneri,Andrenidae,Trifolium,
Calliopsis philiphunteri,Andrenidae,Ericameria,Asteraceae
Calliopsis puellae,Andrenidae,Baileya,Asteraceae
Calliopsis rozeni,Andrenidae,Bahia,Asteraceae
Calliopsis subalpina,Andrenidae,Sphaeralcea,Malvaceae
Calliopsis verbenae,Andrenidae,Verbena,
Caupolicana ocellata,Colletidae,Dalea,Fabaceae
Colletes aberrans,Colletidae,Dalea,Fabaceae
Colletes algarobiae,Colletidae,Prosopis,Fabaceae
Colletes americanus,Colletidae,Euthamia,Asteraceae
Colletes birkmanni,Colletidae,Baccharis,Asteraceae
Colletes brevicornis,Colletidae,Campanula,
Colletes bumeliae,Colletidae,Sideroxylon,
Colletes clypeonitens,Colletidae,Larrea,
Colletes compactus,Colletidae,Bidens,Asteraceae
Colletes fulgidus,Colletidae,Achillea,Asteraceae
Colletes gypsicolens,Colletidae,Chrysothamnus,Asteraceae
Colletes inuncantipedis,Colletidae,Sideroxylon,
Colletes latitarsis,Colletidae,Physalis,
Colletes prosopidis,Colletidae,Prosopis,Fabaceae
Colletes scopiventer,Colletidae,Chamaesaracha,Solanaceae
Colletes simulans,Colletidae,Chrysothamnus,Asteraceae
Colletes speculiferus,Colletidae,Euthamia,Asteraceae
Colletes sphaeralceae,Colletidae,Sphaeralcea,Malvaceae
Colletes willistoni,Colletidae,Physalis,
Colletes wilmattae,Colletidae,Dalea,Fabaceae
Colletes xerophilus,Colletidae,Salix,
Conanthalictus bakeri,Halictidae,Phacelia,Phacelia
Conanthalictus cotullensis,Halictidae,Nama,
Diadasia afflicta,Apidae,Callirhoe,Malvaceae
Diadasia afflictula,Apidae,Malvella,Malvaceae
Diadasia australis,Apidae,Cylindropuntia,Cactaceae
Diadasia diminuta,Apidae,Sidalcea,Malvaceae
Diadasia enavata,Apidae,Helianthus,Asteraceae
Diadasia lutzi,Apidae,Sphaeralcea,Malvaceae
Diadasia megamorpha,Apidae,Sphaeralcea,Malvaceae
Diadasia ochracea,Apidae,Malacothamnus,Malvaceae
Diadasia piercei,Apidae,Opuntia,
Diadasia rinconis,Apidae,Cylindropuntia,Cactaceae
Diadasia sphaeralcearum,Apidae,Sphaeralcea,Malvaceae
Diadasia vallicola,Apidae,Sphaeralcea,Malvaceae
Dianthidium curvatum,Megachilidae,Coreopsis,Asteraceae
Dianthidium parvum,Megachilidae,Baileya,Asteraceae
Dianthidium platyurum,Megachilidae,Bebbia,Asteraceae
Dieunomia bolliana,Halictidae,Coreopsis,Asteraceae
Dieunomia heteropoda,Halictidae,Bidens,Asteraceae
Dieunomia nevadensis,Halictidae,Baccharis,Asteraceae
Dieunomia triangulifera,Halictidae,Helianthus,Asteraceae
Dufourea pulchricornis,Halictidae,Lepidium,Brassicaceae
Exomalopsis solidaginis,Apidae,Baccharis,Asteraceae
Florilegus condignus,Apidae,Pontederia,
Habropoda laboriosa,Apidae,Cercis,
Hesperapis infuscata,Melittidae,Helianthus,Asteraceae
Hesperapis larreae,Melittidae,Larrea,
Hesperapis rhodocerata,Melittidae,Bahia,Asteraceae
Hesperapis trochanterata,Melittidae,Nama,
Hoplitis biscutellae,Megachilidae,Larrea,
Hoplitis simplex,Megachilidae,Nemophila,
Lasioglossum aberrans,Halictidae,Oenothera,
Lasioglossum lusorium,Halictidae,Oenothera,
Lasioglossum lustrans,Halictidae,Eurybia,
Lasioglossum noctivaga,Halictidae,Oenothera,
Lasioglossum oenotherae,Halictidae,Oenothera,
