bee_taxon,bee_group_or_common_name,family,genus,rank,all_interaction_rows,source_backed_rows,bee_plant_rows,unique_plants,best_local_support,min_distance_mi,garden_action
Agapostemon,green sweat bee,Halictidae,Agapostemon,genus,1,1,1,1,≤50 mi from Kyle coordinate,32.9,Plant a mix of locally native flowers recorded with this bee. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Agapostemon angelicus,green sweat bee,Halictidae,Agapostemon,species,2,2,2,1,≤150 mi from Kyle coordinate,124.4,Plant a mix of locally native flowers recorded with this bee. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Agapostemon meliventris,green sweat bee,,,unknown,3,3,3,1,≤25 mi from Kyle coordinate,21.9,Plant a mix of locally native flowers recorded with this bee. Protect nesting habitat and keep pesticide use low.
Agapostemon melliventris,green sweat bee,Halictidae,Agapostemon,species,12,12,11,3,≤25 mi from Kyle coordinate,21.9,Plant a mix of locally native flowers recorded with this bee. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Agapostemon splendens,green sweat bee,Halictidae,Agapostemon,species,3,3,3,3,≤50 mi from Kyle coordinate,33.0,Plant a mix of locally native flowers recorded with this bee. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Agapostemon texanus,green sweat bee,Halictidae,Agapostemon,species,71,71,56,9,≤25 mi from Kyle coordinate,15.3,Plant a mix of locally native flowers recorded with this bee. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Andrena,mining bee,Andrenidae,Andrena,genus,1,1,0,0,≤50 mi from Kyle coordinate,34.0,This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Andrena afimbriata,mining bee,Andrenidae,Andrena,species,3,3,3,2,≤50 mi from Kyle coordinate,48.1,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Andrena andrenoides,mining bee,Andrenidae,Andrena,species,17,17,17,1,regional locality text,59.6,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Andrena arenicola,mining bee,Andrenidae,Andrena,species,15,15,15,1,regional locality text,59.6,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Andrena banksi,mining bee,Andrenidae,Andrena,species,1,1,1,1,regional locality text,59.6,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Andrena brevicornis,mining bee,Andrenidae,Andrena,species,1,1,1,1,≤150 mi from Kyle coordinate,97.8,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Andrena commoda,mining bee,Andrenidae,Andrena,species,1,1,1,1,≤150 mi from Kyle coordinate,117.9,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Andrena crataegi,mining bee,Andrenidae,Andrena,species,2,2,2,1,regional locality text,59.6,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Andrena crawfordi,mining bee,Andrenidae,Andrena,species,24,24,18,2,Hays-core locality text,24.5,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Andrena illinoiensis,mining bee,Andrenidae,Andrena,species,7,7,7,1,≤150 mi from Kyle coordinate,69.4,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Andrena macoupinensis,mining bee,Andrenidae,Andrena,species,4,4,4,2,≤25 mi from Kyle coordinate,20.4,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Andrena macra,mining bee,Andrenidae,Andrena,species,2,2,2,1,≤150 mi from Kyle coordinate,69.4,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Andrena melliventris,mining bee,Andrenidae,Andrena,species,2,2,0,0,≤50 mi from Kyle coordinate,43.3,This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Andrena micheneriella,mining bee,Andrenidae,Andrena,species,1,1,1,1,regional locality text,53.8,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Andrena miserabilis,mining bee,Andrenidae,Andrena,species,15,15,15,2,regional locality text,59.6,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Andrena monilicornis,mining bee,Andrenidae,Andrena,species,1,1,1,1,≤150 mi from Kyle coordinate,97.8,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Andrena nasonii,mining bee,Andrenidae,Andrena,species,22,22,22,1,≤50 mi from Kyle coordinate,25.4,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Andrena nigrae,mining bee,Andrenidae,Andrena,species,8,8,8,1,≤50 mi from Kyle coordinate,25.4,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Andrena perplexa,mining bee,Andrenidae,Andrena,species,1,1,1,1,≤25 mi from Kyle coordinate,20.4,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Andrena personata,mining bee,Andrenidae,Andrena,species,28,28,27,1,≤50 mi from Kyle coordinate,25.4,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Andrena primulifrons,mining bee,Andrenidae,Andrena,species,119,119,34,1,regional locality text,102.0,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Andrena rudbeckiae,mining bee,Andrenidae,Andrena,species,12,12,12,1,≤25 mi from Kyle coordinate,21.1,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Andrena sagittagalea,mining bee,Andrenidae,Andrena,species,5,5,5,1,≤50 mi from Kyle coordinate,25.4,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
