id,sourceWorkbookRow,bee,family,rank,beeSide,interaction,interactionGroup,interactionMeaning,partner,partnerFamily,partnerGenus,partnerKingdom,plant,sourceBacked,locality,locationClass,localityScore,lat,lon,distanceMi,eventDate,basis,sourceShort,citation,sourceUrl,sourceArchiveURI,referenceDoi
0,2,Prosopis,Colletidae,genus,target,parasiteOf,Parasite / host,source taxon was recorded as parasite of target taxon; direction matters,Lampetis webbii,Buprestidae,Lampetis,Animalia,False,True,"Green Valley, Texas",≤150 mi from Kyle coordinate,1,31.25044,-99.25061,119.4,0008-01-01T00:00:00Z,,millerse/Buprestidae-of-North-America,"Chamberlin, W. J. The Buprestidae of North America, Exclusive of Mexico, a Catalogue including Synonomy, Bibliography, Distribution, Type Locality and Hosts of Each Species,. 1926.",https://zenodo.org/records/259795/files/millerse/Buprestidae-of-North-America-v1.0.zip,https://zenodo.org/records/259795/files/millerse/Buprestidae-of-North-America-v1.0.zip,10.5962/bhl.title.6526
1,72,Prosopis,Colletidae,genus,target,parasiteOf,Parasite / host,source taxon was recorded as parasite of target taxon; direction matters,Paratyndaris chamaelonis,,,,False,True,"New Brunsfel, Texas",≤150 mi from Kyle coordinate,1,31.25044,-99.25061,119.4,,,millerse/Buprestidae-of-North-America,"Chamberlin, W. J. The Buprestidae of North America, Exclusive of Mexico, a Catalogue including Synonomy, Bibliography, Distribution, Type Locality and Hosts of Each Species,. 1926.",https://zenodo.org/records/259795/files/millerse/Buprestidae-of-North-America-v1.0.zip,https://zenodo.org/records/259795/files/millerse/Buprestidae-of-North-America-v1.0.zip,10.5962/bhl.title.6526
2,77,Prosopis,Colletidae,genus,target,parasiteOf,Parasite / host,source taxon was recorded as parasite of target taxon; direction matters,Acmaeodera gibbula,Buprestidae,Acmaeodera,Metazoa,False,True,"Chisos, Texas",≤150 mi from Kyle coordinate,1,31.25044,-99.25061,119.4,,,millerse/Buprestidae-of-North-America,"Chamberlin, W. J. The Buprestidae of North America, Exclusive of Mexico, a Catalogue including Synonomy, Bibliography, Distribution, Type Locality and Hosts of Each Species,. 1926.",https://zenodo.org/records/259795/files/millerse/Buprestidae-of-North-America-v1.0.zip,https://zenodo.org/records/259795/files/millerse/Buprestidae-of-North-America-v1.0.zip,10.5962/bhl.title.6526
3,80,Prosopis,Colletidae,genus,target,parasiteOf,Parasite / host,source taxon was recorded as parasite of target taxon; direction matters,Polycesta elata,Buprestidae,Polycesta,Metazoa,False,True,"Cypress Mills, Texas",≤150 mi from Kyle coordinate,1,31.25044,-99.25061,119.4,0001-01-01T00:00:00Z,,millerse/Buprestidae-of-North-America,"Chamberlin, W. J. The Buprestidae of North America, Exclusive of Mexico, a Catalogue including Synonomy, Bibliography, Distribution, Type Locality and Hosts of Each Species,. 1926.",https://zenodo.org/records/259795/files/millerse/Buprestidae-of-North-America-v1.0.zip,https://zenodo.org/records/259795/files/millerse/Buprestidae-of-North-America-v1.0.zip,10.5962/bhl.title.6526
4,83,Prosopis,Colletidae,genus,target,parasiteOf,Parasite / host,source taxon was recorded as parasite of target taxon; direction matters,Polycesta elata,Buprestidae,Polycesta,Metazoa,False,True,"Cypress Mills, Texas",≤150 mi from Kyle coordinate,1,31.25044,-99.25061,119.4,0012-01-01T00:00:00Z,,millerse/Buprestidae-of-North-America,"Chamberlin, W. J. The Buprestidae of North America, Exclusive of Mexico, a Catalogue including Synonomy, Bibliography, Distribution, Type Locality and Hosts of Each Species,. 1926.",https://zenodo.org/records/259795/files/millerse/Buprestidae-of-North-America-v1.0.zip,https://zenodo.org/records/259795/files/millerse/Buprestidae-of-North-America-v1.0.zip,10.5962/bhl.title.6526
5,84,Prosopis,Colletidae,genus,target,parasiteOf,Parasite / host,source taxon was recorded as parasite of target taxon; direction matters,Hippomelas sphenicus,Buprestidae,Hippomelas,Metazoa,False,True,"San Diego, Texas",≤150 mi from Kyle coordinate,1,31.25044,-99.25061,119.4,,,millerse/Buprestidae-of-North-America,"Chamberlin, W. J. The Buprestidae of North America, Exclusive of Mexico, a Catalogue including Synonomy, Bibliography, Distribution, Type Locality and Hosts of Each Species,. 1926.",https://zenodo.org/records/259795/files/millerse/Buprestidae-of-North-America-v1.0.zip,https://zenodo.org/records/259795/files/millerse/Buprestidae-of-North-America-v1.0.zip,10.5962/bhl.title.6526
6,109,Prosopis,Colletidae,genus,target,parasiteOf,Parasite / host,source taxon was recorded as parasite of target taxon; direction matters,Polycesta elata,Buprestidae,Polycesta,Metazoa,False,True,"Bethage, Texas",≤150 mi from Kyle coordinate,1,31.25044,-99.25061,119.4,0005-11-01T00:00:00Z,,millerse/Buprestidae-of-North-America,"Chamberlin, W. J. The Buprestidae of North America, Exclusive of Mexico, a Catalogue including Synonomy, Bibliography, Distribution, Type Locality and Hosts of Each Species,. 1926.",https://zenodo.org/records/259795/files/millerse/Buprestidae-of-North-America-v1.0.zip,https://zenodo.org/records/259795/files/millerse/Buprestidae-of-North-America-v1.0.zip,10.5962/bhl.title.6526
7,112,Prosopis,Colletidae,genus,target,parasiteOf,Parasite / host,source taxon was recorded as parasite of target taxon; direction matters,Chrysobothris octocola,Buprestidae,Chrysobothris,Metazoa,False,True,"Fedor, Lee Co., Texas",regional locality text,2,30.31604,-97.05276,54.2,,,millerse/Buprestidae-of-North-America,"Chamberlin, W. J. The Buprestidae of North America, Exclusive of Mexico, a Catalogue including Synonomy, Bibliography, Distribution, Type Locality and Hosts of Each Species,. 1926.",https://zenodo.org/records/259795/files/millerse/Buprestidae-of-North-America-v1.0.zip,https://zenodo.org/records/259795/files/millerse/Buprestidae-of-North-America-v1.0.zip,10.5962/bhl.title.6526
8,125,Prosopis,Colletidae,genus,target,parasiteOf,Parasite / host,source taxon was recorded as parasite of target taxon; direction matters,Paratyndaris chamaelonis,,,,False,True,"Carmal County, Texas",≤150 mi from Kyle coordinate,1,31.25044,-99.25061,119.4,,,millerse/Buprestidae-of-North-America,"Chamberlin, W. J. The Buprestidae of North America, Exclusive of Mexico, a Catalogue including Synonomy, Bibliography, Distribution, Type Locality and Hosts of Each Species,. 1926.",https://zenodo.org/records/259795/files/millerse/Buprestidae-of-North-America-v1.0.zip,https://zenodo.org/records/259795/files/millerse/Buprestidae-of-North-America-v1.0.zip,10.5962/bhl.title.6526
9,141,Prosopis,Colletidae,genus,target,parasiteOf,Parasite / host,source taxon was recorded as parasite of target taxon; direction matters,Polycesta velasco,Buprestidae,Polycesta,Animalia,False,True,"Carmal County, Texas",≤150 mi from Kyle coordinate,1,31.25044,-99.25061,119.4,,,millerse/Buprestidae-of-North-America,"Chamberlin, W. J. The Buprestidae of North America, Exclusive of Mexico, a Catalogue including Synonomy, Bibliography, Distribution, Type Locality and Hosts of Each Species,. 1926.",https://zenodo.org/records/259795/files/millerse/Buprestidae-of-North-America-v1.0.zip,https://zenodo.org/records/259795/files/millerse/Buprestidae-of-North-America-v1.0.zip,10.5962/bhl.title.6526
